Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	68	6.98869475847893	6.191605034488453E-9	ENSMUSG00000004892, ENSMUSG00000074483, ENSMUSG00000028222, ENSMUSG00000074486, ENSMUSG00000028785, ENSMUSG00000042401, ENSMUSG00000024743, ENSMUSG00000049723, ENSMUSG00000043613, ENSMUSG00000004730, ENSMUSG00000061601, ENSMUSG00000021313, ENSMUSG00000037892, ENSMUSG00000074489, ENSMUSG00000030865, ENSMUSG00000029161, ENSMUSG00000030102, ENSMUSG00000052613, ENSMUSG00000049252, ENSMUSG00000025020, ENSMUSG00000023000, ENSMUSG00000022991, ENSMUSG00000021186, ENSMUSG00000006800, ENSMUSG00000008307, ENSMUSG00000029544, ENSMUSG00000023886, ENSMUSG00000027849, ENSMUSG00000053519, ENSMUSG00000016200, ENSMUSG00000034098, ENSMUSG00000034891, ENSMUSG00000036510, ENSMUSG00000034774, ENSMUSG00000064080, ENSMUSG00000035864, ENSMUSG00000033765, ENSMUSG00000035459, ENSMUSG00000029410, ENSMUSG00000004110, ENSMUSG00000008153, ENSMUSG00000023473, ENSMUSG00000004113, ENSMUSG00000022425, ENSMUSG00000041771, ENSMUSG00000036062, ENSMUSG00000015001, ENSMUSG00000051747, ENSMUSG00000068452, ENSMUSG00000060371, ENSMUSG00000005649, ENSMUSG00000020848, ENSMUSG00000037996, ENSMUSG00000074505, ENSMUSG00000057378, ENSMUSG00000033268, ENSMUSG00000026452, ENSMUSG00000030592, ENSMUSG00000040152, ENSMUSG00000036095, ENSMUSG00000025329, ENSMUSG00000039167, ENSMUSG00000000402, ENSMUSG00000029608, ENSMUSG00000054423, ENSMUSG00000046093, ENSMUSG00000054106, ENSMUSG00000058626	795	699	17446	2.13481613445983	5.745792956646234E-6	1.1491618944010567E-6	1.108297301173433E-6
GOTERM_CC_DIRECT	GO:0043005~neuron projection	46	4.72764645426516	7.521926892493216E-8	ENSMUSG00000005089, ENSMUSG00000028222, ENSMUSG00000057880, ENSMUSG00000019828, ENSMUSG00000019906, ENSMUSG00000000794, ENSMUSG00000026764, ENSMUSG00000023032, ENSMUSG00000004113, ENSMUSG00000061601, ENSMUSG00000048978, ENSMUSG00000021313, ENSMUSG00000023439, ENSMUSG00000025658, ENSMUSG00000037196, ENSMUSG00000037771, ENSMUSG00000020704, ENSMUSG00000030108, ENSMUSG00000052336, ENSMUSG00000030109, ENSMUSG00000030307, ENSMUSG00000039059, ENSMUSG00000030500, ENSMUSG00000075318, ENSMUSG00000050556, ENSMUSG00000030310, ENSMUSG00000061878, ENSMUSG00000037428, ENSMUSG00000033981, ENSMUSG00000031144, ENSMUSG00000025582, ENSMUSG00000051111, ENSMUSG00000034958, ENSMUSG00000039809, ENSMUSG00000070570, ENSMUSG00000006127, ENSMUSG00000003872, ENSMUSG00000040896, ENSMUSG00000019775, ENSMUSG00000023328, ENSMUSG00000029608, ENSMUSG00000037386, ENSMUSG00000035681, ENSMUSG00000035200, ENSMUSG00000032338, ENSMUSG00000035864	889	420	19662	2.4223364936525793	3.5277216196782923E-5	2.519845508985227E-6	2.2565780677479647E-6
GOTERM_CC_DIRECT	GO:0042734~presynaptic membrane	17	1.7471736896197325	1.8304247045759945E-7	ENSMUSG00000031772, ENSMUSG00000005089, ENSMUSG00000079550, ENSMUSG00000033981, ENSMUSG00000031144, ENSMUSG00000019828, ENSMUSG00000056073, ENSMUSG00000024743, ENSMUSG00000026787, ENSMUSG00000000617, ENSMUSG00000023328, ENSMUSG00000098557, ENSMUSG00000022935, ENSMUSG00000035681, ENSMUSG00000033419, ENSMUSG00000066392, ENSMUSG00000035864	889	75	19662	5.01318335208099	8.584324173388502E-5	5.365432415288384E-6	4.804864849511986E-6
KEGG_PATHWAY	mmu04724:Glutamatergic synapse	20	2.055498458376156	2.902909850931622E-7	ENSMUSG00000038607, ENSMUSG00000005089, ENSMUSG00000033981, ENSMUSG00000051331, ENSMUSG00000019828, ENSMUSG00000056073, ENSMUSG00000070570, ENSMUSG00000025892, ENSMUSG00000008932, ENSMUSG00000003279, ENSMUSG00000020431, ENSMUSG00000023439, ENSMUSG00000000617, ENSMUSG00000022935, ENSMUSG00000032839, ENSMUSG00000025739, ENSMUSG00000030500, ENSMUSG00000071658, ENSMUSG00000030102, ENSMUSG00000038811	327	115	7691	4.09041350884191	6.734525053420093E-5	1.1224584756935605E-5	9.724748000620934E-6
GOTERM_CC_DIRECT	GO:0030672~synaptic vesicle membrane	15	1.5416238437821173	4.115656410158024E-7	ENSMUSG00000003153, ENSMUSG00000033981, ENSMUSG00000031144, ENSMUSG00000026452, ENSMUSG00000051111, ENSMUSG00000007021, ENSMUSG00000070570, ENSMUSG00000024743, ENSMUSG00000026787, ENSMUSG00000027849, ENSMUSG00000029608, ENSMUSG00000030500, ENSMUSG00000032259, ENSMUSG00000035864, ENSMUSG00000037217	889	61	19662	5.438602961515056	1.9300569735913875E-4	1.1354369743318314E-5	1.0168092307449236E-5
UP_KEYWORDS	Cleavage on pair of basic residues	30	3.0832476875642345	4.2306174707338584E-7	ENSMUSG00000027350, ENSMUSG00000000392, ENSMUSG00000058952, ENSMUSG00000074483, ENSMUSG00000024164, ENSMUSG00000074486, ENSMUSG00000021194, ENSMUSG00000027358, ENSMUSG00000032181, ENSMUSG00000061762, ENSMUSG00000029831, ENSMUSG00000050957, ENSMUSG00000022425, ENSMUSG00000073418, ENSMUSG00000027419, ENSMUSG00000000215, ENSMUSG00000014351, ENSMUSG00000039278, ENSMUSG00000066090, ENSMUSG00000074489, ENSMUSG00000050711, ENSMUSG00000048482, ENSMUSG00000027400, ENSMUSG00000028635, ENSMUSG00000041523, ENSMUSG00000019772, ENSMUSG00000021943, ENSMUSG00000039004, ENSMUSG00000036510, ENSMUSG00000034774	932	248	22680	2.943721445382805	1.476376814475433E-4	5.091329300986609E-6	4.259794142945816E-6
GOTERM_BP_DIRECT	GO:0007399~nervous system development	41	4.213771839671121	5.174254705183435E-7	ENSMUSG00000049281, ENSMUSG00000006398, ENSMUSG00000005089, ENSMUSG00000005045, ENSMUSG00000034701, ENSMUSG00000051243, ENSMUSG00000032087, ENSMUSG00000053046, ENSMUSG00000050272, ENSMUSG00000049001, ENSMUSG00000056596, ENSMUSG00000048015, ENSMUSG00000060534, ENSMUSG00000023951, ENSMUSG00000043557, ENSMUSG00000041578, ENSMUSG00000029712, ENSMUSG00000048978, ENSMUSG00000064293, ENSMUSG00000027419, ENSMUSG00000038264, ENSMUSG00000037892, ENSMUSG00000028072, ENSMUSG00000035456, ENSMUSG00000075318, ENSMUSG00000032303, ENSMUSG00000035513, ENSMUSG00000015619, ENSMUSG00000057897, ENSMUSG00000063919, ENSMUSG00000048482, ENSMUSG00000055471, ENSMUSG00000034958, ENSMUSG00000029121, ENSMUSG00000010505, ENSMUSG00000025020, ENSMUSG00000002688, ENSMUSG00000020599, ENSMUSG00000022935, ENSMUSG00000032517, ENSMUSG00000047261	819	377	18082	2.401071371893653	0.0016466433425609273	1.1771429454292314E-4	1.1590330539610895E-4
UP_KEYWORDS	Symport	19	1.9527235354573484	6.048150022192108E-7	ENSMUSG00000005089, ENSMUSG00000030310, ENSMUSG00000039728, ENSMUSG00000026220, ENSMUSG00000070570, ENSMUSG00000025557, ENSMUSG00000008932, ENSMUSG00000000792, ENSMUSG00000026904, ENSMUSG00000021733, ENSMUSG00000017740, ENSMUSG00000041771, ENSMUSG00000023945, ENSMUSG00000030108, ENSMUSG00000030307, ENSMUSG00000030109, ENSMUSG00000011034, ENSMUSG00000052026, ENSMUSG00000030500	932	111	22680	4.165410045238371	2.1105822367606386E-4	7.0360145258168186E-6	5.8868660216003175E-6
GOTERM_CC_DIRECT	GO:0043195~terminal bouton	20	2.055498458376156	6.936349305067887E-7	ENSMUSG00000033981, ENSMUSG00000031144, ENSMUSG00000058831, ENSMUSG00000048482, ENSMUSG00000026452, ENSMUSG00000028222, ENSMUSG00000028524, ENSMUSG00000056073, ENSMUSG00000025892, ENSMUSG00000024743, ENSMUSG00000061601, ENSMUSG00000022935, ENSMUSG00000063142, ENSMUSG00000026609, ENSMUSG00000035681, ENSMUSG00000034891, ENSMUSG00000033419, ENSMUSG00000032338, ENSMUSG00000035864, ENSMUSG00000037217	889	113	19662	3.9145106861642294	3.252619860731887E-4	1.807304346709355E-5	1.6184815045158402E-5
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	48	4.933196300102774	7.595287828875435E-7	ENSMUSG00000031772, ENSMUSG00000006651, ENSMUSG00000035459, ENSMUSG00000004892, ENSMUSG00000000392, ENSMUSG00000032783, ENSMUSG00000032087, ENSMUSG00000050272, ENSMUSG00000008153, ENSMUSG00000031293, ENSMUSG00000026581, ENSMUSG00000023473, ENSMUSG00000026587, ENSMUSG00000026442, ENSMUSG00000027656, ENSMUSG00000079173, ENSMUSG00000022026, ENSMUSG00000064293, ENSMUSG00000020689, ENSMUSG00000039013, ENSMUSG00000037892, ENSMUSG00000041592, ENSMUSG00000052336, ENSMUSG00000037016, ENSMUSG00000029161, ENSMUSG00000066392, ENSMUSG00000030787, ENSMUSG00000052613, ENSMUSG00000061080, ENSMUSG00000074505, ENSMUSG00000079465, ENSMUSG00000022491, ENSMUSG00000022790, ENSMUSG00000027962, ENSMUSG00000021186, ENSMUSG00000041329, ENSMUSG00000005338, ENSMUSG00000049612, ENSMUSG00000029304, ENSMUSG00000020310, ENSMUSG00000006445, ENSMUSG00000040152, ENSMUSG00000023328, ENSMUSG00000002944, ENSMUSG00000000402, ENSMUSG00000070695, ENSMUSG00000036510, ENSMUSG00000034774	819	485	18082	2.185053434537971	0.0024161764275147934	1.6127327823312174E-4	1.5879215087568908E-4
GOTERM_BP_DIRECT	GO:0007268~chemical synaptic transmission	25	2.5693730729701953	9.001113592374716E-7	ENSMUSG00000029054, ENSMUSG00000056073, ENSMUSG00000025892, ENSMUSG00000061762, ENSMUSG00000068615, ENSMUSG00000000617, ENSMUSG00000017740, ENSMUSG00000063142, ENSMUSG00000030108, ENSMUSG00000033419, ENSMUSG00000030109, ENSMUSG00000030307, ENSMUSG00000066392, ENSMUSG00000030310, ENSMUSG00000033981, ENSMUSG00000031144, ENSMUSG00000051331, ENSMUSG00000051111, ENSMUSG00000070570, ENSMUSG00000027400, ENSMUSG00000003279, ENSMUSG00000020436, ENSMUSG00000034891, ENSMUSG00000057914, ENSMUSG00000036510	819	172	18082	3.209032569497686	0.002862750462040209	1.7759806184575796E-4	1.7486578397120784E-4
GOTERM_BP_DIRECT	GO:0060041~retina development in camera-type eye	17	1.7471736896197325	9.479331401500425E-7	ENSMUSG00000028174, ENSMUSG00000028222, ENSMUSG00000057132, ENSMUSG00000031142, ENSMUSG00000049353, ENSMUSG00000024990, ENSMUSG00000048015, ENSMUSG00000028785, ENSMUSG00000041578, ENSMUSG00000020212, ENSMUSG00000068323, ENSMUSG00000000617, ENSMUSG00000046049, ENSMUSG00000025900, ENSMUSG00000023328, ENSMUSG00000014361, ENSMUSG00000031028	819	84	18082	4.468195825338682	0.003014615376725982	1.7759806184575796E-4	1.7486578397120784E-4
GOTERM_CC_DIRECT	GO:0005578~proteinaceous extracellular matrix	36	3.6998972250770814	9.733457613417337E-7	ENSMUSG00000004892, ENSMUSG00000010797, ENSMUSG00000049001, ENSMUSG00000026043, ENSMUSG00000058571, ENSMUSG00000042401, ENSMUSG00000020044, ENSMUSG00000049723, ENSMUSG00000043635, ENSMUSG00000028108, ENSMUSG00000043613, ENSMUSG00000027656, ENSMUSG00000041534, ENSMUSG00000001506, ENSMUSG00000043631, ENSMUSG00000015001, ENSMUSG00000035270, ENSMUSG00000024529, ENSMUSG00000059901, ENSMUSG00000028197, ENSMUSG00000079465, ENSMUSG00000025020, ENSMUSG00000026697, ENSMUSG00000021186, ENSMUSG00000001131, ENSMUSG00000023886, ENSMUSG00000002289, ENSMUSG00000024979, ENSMUSG00000020953, ENSMUSG00000000402, ENSMUSG00000020019, ENSMUSG00000067158, ENSMUSG00000039269, ENSMUSG00000096606, ENSMUSG00000033207, ENSMUSG00000064080	889	316	19662	2.519656561917102	4.5639520423612634E-4	2.402627168785648E-5	2.1516064198080427E-5
INTERPRO	IPR013320:Concanavalin A-like lectin/glucanase, subgroup	27	2.774922918807811	1.0650265727390028E-6	ENSMUSG00000031772, ENSMUSG00000008153, ENSMUSG00000023473, ENSMUSG00000028644, ENSMUSG00000043557, ENSMUSG00000079173, ENSMUSG00000005202, ENSMUSG00000021313, ENSMUSG00000026609, ENSMUSG00000073530, ENSMUSG00000066392, ENSMUSG00000074505, ENSMUSG00000036964, ENSMUSG00000028197, ENSMUSG00000057378, ENSMUSG00000036913, ENSMUSG00000028370, ENSMUSG00000055471, ENSMUSG00000025582, ENSMUSG00000030592, ENSMUSG00000025020, ENSMUSG00000059991, ENSMUSG00000040152, ENSMUSG00000000402, ENSMUSG00000070695, ENSMUSG00000033949, ENSMUSG00000033207	873	211	20594	3.0186153319978506	0.0014665309896240153	2.0965808817633512E-4	2.043329553126401E-4
